"Date,AZN,DGE,BAE,BARC,BP,HSBC,LLOYDS,RR,SHEL,ULVR"
"09/05/2019,38.47,3240.5,470.2,156.86,525.5,651.9,60.89,313.59,63.13,4611"
"10/05/2019,37.65,3245.5,469.3,157.52,524.2,652,61.05,315.23,63.55,4609.5"
"13/05/2019,37.28,3254,461.1,155.1,526.3,650,59.79,308.1,63.38,4649.5"
"14/05/2019,37.82,3280.5,465,157.64,534.6,653.6,60.64,311.46,64.11,4640.5"
"15/05/2019,37.68,3317,465,160,539.4,663.3,60.98,314.34,64.86,4690"
"16/05/2019,37.8,3350.5,464.5,160.68,549.7,661,61.51,320.72,64.26,4775"
"17/05/2019,37.78,3348,466,158.74,556,654.7,60.34,321.55,64.27,4796.5"
"20/05/2019,37.54,3344,459.3,156.36,557.2,650.1,59.5,322.99,64.43,4787.5"
"21/05/2019,37.88,3324.5,461,157,560.1,652.5,60.52,315.03,64.47,4751"
"22/05/2019,38.61,3318.5,459.4,152.82,560.5,657.5,59.15,315.51,63.72,4857"
"23/05/2019,38.66,3318.5,453,149.5,544.1,659.3,57.85,305.42,62.46,4839"
"24/05/2019,39.02,3348.5,450.1,149.26,544.5,659.4,58.52,304.8,63.3,4883.5"
"28/05/2019,38.01,3359,447.5,150.66,545.5,658.5,57.63,300,62.56,4859.5"
"29/05/2019,37.53,3315.5,443.9,150.76,541.3,655.5,57.49,296.5,62.36,4840"
"30/05/2019,37.51,3355.5,444.1,150.9,541.3,653.6,57.64,298.69,62.28,4887"
"31/05/2019,37.38,3325.5,452.4,149.34,540.1,645.1,57.26,295.12,61.81,4837"
"03/06/2019,37.9,3362,462.5,149.48,544,646.9,57.05,297.66,62.38,4855"
"04/06/2019,38.59,3298,467,154.1,544.6,647.7,57.89,301.64,62.48,4814.5"
"05/06/2019,38.36,3336,465,152.5,537.6,646.3,57.81,303.02,62.76,4858"
"06/06/2019,38.83,3370.5,467,151.24,543.5,644.1,57.23,306.79,63.62,4880"
"07/06/2019,39.02,3407,476,151.06,551.8,650.9,57.61,312.08,64.48,4914"
"10/06/2019,39.59,3403,485,153.08,555.5,658.4,58.39,308.92,64.28,4899"
"11/06/2019,39.39,3394.5,483.1,152.22,557,655.9,58.05,309.54,64.51,4918"
"12/06/2019,39.93,3430,481.4,150.48,540.8,648.9,57.98,306.65,63.49,4972.5"
"13/06/2019,39.91,3424.5,482.5,149.52,539,647.9,58.05,307.82,63.75,4947"
"14/06/2019,39.67,3418.5,484.7,149,538.9,645.6,57.7,306.04,63.43,4973.5"
"17/06/2019,39.98,3400.5,488.4,150.74,536,651.1,57.94,311.25,62.92,4967"
"18/06/2019,40.95,3391,492,151.6,545.9,657.6,58.07,317.02,63.92,4983.5"
"19/06/2019,41.68,3385.5,491.7,153.22,541.6,657.3,59.2,311.73,64.38,4927"
"20/06/2019,41.61,3394.5,483.8,150.48,549.3,654,58.39,313.31,65.52,4913"
"21/06/2019,41.36,3380,485.6,148.7,556.2,649.6,58.1,302.67,65.7,4908.5"
"24/06/2019,41.49,3431.5,485.6,148.46,550.3,645.8,57,304.39,65.86,4951.5"
"25/06/2019,41.4,3423,494.2,146.9,551,647.8,56.7,300,65.76,4936"
"26/06/2019,40.97,3388.5,491.9,149.3,554.5,649.7,56.91,291.76,66.01,4891.5"
"27/06/2019,40.99,3369,492,150,550.7,654.8,56.86,289.7,65.09,4862.5"
"28/06/2019,41.28,3384,495.4,149.8,548.6,656.9,56.59,288.4,65.07,4894.5"
